Name,Location,Study Program,Sector,Affiliation,Rating
Govt Girls Degree College Mandan Bannu,Mandan Bannu,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Public,N/A,0*
Govt College Of Technology Nowshera,Govt College of Technology Nowshera,FSc in Pre Engineering,N/A,N/A,0*
"Kaizen College, Karachi","7C, Block 13D, Near Mochi More, Gulshan-e-Iqbal, Karachi",A-Level ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,N/A,N/A,0*
Govt Degree College Uch Sharif Bahawalpur,Govt Degree College Uch Sharif Bahawalpur,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Cadet College Khushab,"Cadet College Khusab Khurra, Soon Sakaser District Khushab",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Leeds Boys College,Near Arbab Niaz Cricket Stadium Faqire Abad Peshawar,FA FSc Pre Engineering Fsc Pre Medical ICs Computer Science FCs Computer Science,Private,N/A,5*
Punjab Group of Colleges Mansehra,"New Balakot Bypass Near Chakia Chowk,Mansehra",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Government Girls Degree College Zeryab Colony Peshawar,Government Girls Degree College Zeryab Colony Peshawar,FA FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Balochistan College Of Business Management,"Opposite Chq Qwery Road, Quetta.",ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,Private,UOB and Bise Quetta,0*
Govt College of Commerce Chichawatni,"GT Road, Chichawatni - 57200",FA Icom DCom,N/A,N/A,0*
Govt Degree College for Women Kahna Nou Lahore,Govt Degree College For Women Kahna Nou Lahore,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Govt Institute of Commerce Jand Attock,Govt Institute of Commerce Jand Attock,Dcom ICom,N/A,N/A,3*
Govt Degree College For Women Multan Khurd Chakwal,Chakwal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,1.25*
Govt Degree College Rasulpur Sohawa Jhelum,Govt Degree College Rasulpur Sohawa Jhelum,FA Fsc Pre-Engineering FSc Pre-Medical,Public,N/A,0*
Gandhara College of Education Takht Bhai Mardan,"Afzal Imam Colony, Dak'khana Road, Takht Bhai, Mardan",Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,N/A,N/A,0*
Cast Metals & Foundry Technology Centre Sialkot,"Small Industries Estate, Daska, Sialkot.",Diploma in Associate Engineers in Mechanical Technology,Private,N/A,0*
Govt Degree College For Women Kallur Kot Bhakkar,Kallur Kot Bhakkar,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,0*
Dar e Arqam Girls College Gujranwala,"Main Road, Peoples Colony, Gujranwala.",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
"Govt. Institute of Commerce, Pakpattan",Inside Kharkhana Bazar Pakpattan,ICom,N/A,N/A,0*
Govt Degree College For Women Rangpur Baghoor Noorpur Khushab,Rangpur Baghoor Noorpur Khushab,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
Punjab Group of Colleges Bahawalnagar,"Arifwala Bypass near Mohal Chowk, Bahawalnagar",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
"Govt. Institute of Commerce, Kamalia, Toba Tek Singh","Near Chak No. 711/JB Tehsil, Kamalia",ICom,N/A,N/A,0*
Govt College of Commerce Shahdara More Lahore,Shahdrah More Lahore,DCom,Public,N/A,1*
Govt College Of Technology Rahim Yar Khan,Govt College of Technology Shahbazpur Road Rahim Yar Khan,DAE Electrical Technology DAE Mechanical Technology,Public,N/A,1*
Educational Partnership of Islamic and Contemporary Studies (EPIC) Lahore,"13-F Model Town, Link Road, Lahore",A Level,N/A,N/A,0*
"College of Accountancy, Islamabad","108-Dossal Plaza, Blue Area, Islamabad",Icom FA ICs Computer Science FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Govt Degree College Chawinda,Govt Degree College Chawinda,FA ICS Computer Seience ICom FSC Per Engineering FSc Per Medical,Public,N/A,5*
Govt Commerce College Kabirwala Khanewal,Govt Commerce College Kabirwala Khanewal,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
Govt College For Women Dinga Gujrat,Moh Tasan Dinga,FA Fsc Pre-Engineering FSc Pre-Medical ICS FA General Science,Public,N/A,0*
KRL Model College for Boys Rawalpindi,"KRL Model College for Boys, P.O. Sumbalgah, Kahuta, Rawalpindi",FSc Pre Engineering FSc Pre Medical ICs Computer Science FA FA General Science,Private,N/A,3*
Govt College For Women Dijkot Faisalabad,Govt College For Women Dijkot Faisalabad,FA Icom ICS FSc Pre-Engineering FSc Pre-Medical FA General Science,Public,N/A,0*
Islamabad Model College for Boys I-10/1 Islamabad,"Islamabad Model College for Boys, I-10/1, Islamabad",FSc Pre-Engineering FSc Pre-Medical ICS FA FA General Science ICom,Private,N/A,0*
Govt Degree College For Women Mureedwala Faisalabad,Govt Degree College For Women Mureedwala Faisalabad,Fsc Pre-Medical ICS FA General Science FA FSc Pre-Engineering ICom,Public,N/A,0*
Govt Boys Degree College Noorpur Thal Khushab,Noorpur Thal Khushab,FA FSc Pre-Engineering FSc Pre-Medical ICS FA General Science Icom,Public,N/A,0*
Govt Degree College Mamunkanjan Faisalabad,Govt Degree College Mamunkanjan Faisalabad,FA FSc Pre-Medical FSc Pre-Engineering FA General Science ICom ICS,Public,N/A,0*
Govt Degree College Boys Vehova Dera Ghazi Khan,Govt Degree College Boys Vehova Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering,Public,N/A,0*
Hi-Aims College of Commerce And Management Satellite Town Sargodha,Hi Aims College of Commerce and Management 49-a Satellite Town Sargodha,FSc Pre-Medical FSc Pre-Engineering FA ICom ICS FA General Science,Private,N/A,0*
Govt Degree College For Women Kot Qaisrani Dera Ghazi Khan,Govt Degree College For Women Kot Qaisrani Dera Ghazi Khan,FA Fsc Pre-Medical FSc Pre-Engineering,Public,N/A,0*
Burhan School and College Rawalpindi,"Burhan School and College, 33/B Bait-e-Sada Colony, Misrial Road, Rawalpindi",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,Private,N/A,0*
Govt Degree College For Women Miani Bhera Sargodha,Govt Degree College For Women Miani Bhera Sargodha,FA Fsc Pre Medical FA General Science FSc Pre Engineering ICs Computer Science ICom,Public,N/A,0*
Govt Boys Degree College Jand Attock,"Kachehri road, Jand",ICS Computer Science Fsc Pre-Medical FSc Pre-Engineering FA ICom,Public,N/A,0*
Govt College For Women Kot Momin Sargodha,Govt College For Women Kot Momin Sargodha,FSc Pre Medical Fsc Pre-Engineering ICs Computer Science FA General Science FA,Public,N/A,0*
Khyber Institute Of Management And Technology Peshawar,"Gulabad Jamrud Road, Peshawar.",FSc Pre Engineering Fsc Pre Medical ICs Computer Science FCs Computer Science,N/A,N/A,0*
Govt Boys Degree College Naushera Khushab,Govt Boys Degree College Naushera Khushab,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science,Public,N/A,0*
"Khushbakht Leadership College for Girls, Karachi",31-A Block 6 PECHS Main Sharah-e-Faisal (Near Parsa Tower) Karachi,FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science DCom,N/A,N/A,0*
Lahore Girls College Pak AIMS Lahore,"6-A, Canal Park, Gulberg II, Lahore",FA FSc Pre Engineering FSc Pre Medical ICS,N/A,N/A,0*
"Govt. Institute of Commerce, Shujabad, District Multan",Near Degree College Shujabad (Nag Shah Road),ICom,N/A,N/A,0*
Govt Boys Degree College Jalalpur Bhattian Hafizabad,Govt Boys Degree College Jalalpur Bhattian Hafizabad,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
Govt College of Commerce Mian Channu Khanewal,Mian Channu Khanewal,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
Peshawar College of Physical Education,Qayyum Stadium Bara Road Peshawar Saddar,ICS FSC Pre Medical FSC Pre Engineering,N/A,N/A,0*
Govt Degree College For Women Bhagtanwala Sargodha,Govt Degree College For Women Bhagtanwala Sargodha,FA Icom ICS Computer Science Fsc Pre Engineering Fsc Pre Medical,Public,N/A,0*
Govt Institute of Commerce Talagang Chakwal,Chakwal,DCom,N/A,N/A,0*
RITE College Boys Mardan,Mardan,FA Fsc Pre Medical ICS Computer Science FSc Pre Engineering ICom,Private,N/A,0*
Punjab Group of Colleges Lodhran,"Near Jalalpur Chowk,Jalalpur Peerwala Road,Lodhran",FA ICS Computer Science FSc Pre Engineering FSc Pre Medical ICom FA General Science,Private,N/A,0*
Superior Science School & College Islamabad,"Superior Science School & College, Sarwar Road, Tauheed Abad, , Bahara Kau (F.A), Islamabad",FA ICs Computer Science FSc Pre Engineering FSc Pre Medical ICom,Private,N/A,0*
Govt Chandu Begum Degree College For Women Kangan Pur Kasur,Govt Chandu Begum Degree College For Women Kangan Pur Kasur,FA Fsc Pre-Engineering FSc Pre-Medical,Public,N/A,0*
Raja Budhya Khan Govt Degree College Samahni AJK,"Samahni, District Bhimber, Azad Jammu & Kashmir",FA FSc Pre Medical FSc Pre Engreening,Public,N/A,0*
Govt College Of Technology Dera Ismail Khan,Govt College of Technology Dera Ismail Khan,DAE Auto & Farm DAE Electrical Technology DAE Mechanical Technology DAE Civil Technology,N/A,TEVTA,0*
Govt Boys Degree College Nowshera Virkan Gujranwala,Govt Boys Degree College Nowshera Virkan Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom,Public,N/A,0*
Multan Polytechnic Institute Multan,"2656-1 Masoom Shah Road, Multan.",DAE in Civil Technology DAE in Chemical Technology DAE in Electrical Technology DAE in Electronics Technology DAE in Mechanical Technology,N/A,N/A,2.5*
Govt Institute of Commerce Arifwala Pakpattan,"Quboola Road, Arifwala",Icom ICs Computer Science FSc Pre Engineering FSc Pre Medical FA,Public,N/A,0*
Al-Suffah Girls College,"5-Khayaban-e-Sadiq, Sargodha.",FA Icom FSc Pre Engreening FSc Pre Medical ICs Computer Science,Private,N/A,0*
Frontier Education Foundation Degree College Kohat,Old Zanana Hospital Kohat.,FSc Pre Medical FSc Pre Engineering ICS ICom FA,Public,N/A,0*
"Govt. Institute of Commerce, Phalia, Mandi Baha ud Din","Near Hailan Chowk Gujrat Road , Phalia",Icom Bcom,N/A,N/A,0*
Punjab Group of Colleges Dera Ismail Khan,"Sheikh Yousaf Chowk,Main Bannu Road,Dera Ismail Khan",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
"College of Pathologists Pakistan (COPPK), Karachi",N/A,FA FSc Pre Engineering FSc Pre Medical ICom ICS  Computer Science,N/A,N/A,0*
Frontier Science Academy,"PHASE 4, HAYATABAD K.P.K ",FA ICs Computer Science FSc Pre Medical FSc Pre Engineering,N/A,University of Peshawar,0*
"Govt. Institute of Commerce, Mailsi, Vehari",Karor Pecca Miner Road Chungi No 11 Mailsi,ICom,N/A,N/A,0*
Cromwell Business School CBS Rawalpindi,"147-C, RCC Campus, Marirh Chowck, Murree Road, Saddar, Rawalpindi, -46000",ACCA,Private,N/A,0*
Paigham College Of Science And Commerce,"B-841 Commercial Market, Opposite Children Park Satellite Town, Rawalpindi.",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,Private,N/A,0*
Govt Institute of Commerce Wazirabad Gujranwala,Govt Institute of Commerce Wazirabad Gujranwala,Dcom FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom DBA,Public,N/A,0*
Govt Institute of Commerce Fort Abbas Bahawalnagar,Govt Institute of Commerce Fort Abbas Bahawalnagar,Dcom FA ICom ICS,Public,N/A,0*
Govt Degree College Boys Raiwind Lahore,Govt Degree College Boys Raiwind Lahore,FA Fsc Pre Medical ICS FSc Pre Engineering ICom,Public,N/A,0*
Govt Degree College For Women Sargodha,"Govt Degree College For Women Chak No.98/NB, Sargodha",FA FSc Pre Engineering FSc Pre Medical,Public,N/A,0*
Govt Degree College for Special Education Bahawalpur,Govt Degree College for Special Education near Civil Hospital Jhangi wala road Bahawalpur,FA,Public,N/A,0*
The National School & College Sector I-10/1 Islamabad,"The National School & College, House No. 1464-1465, St No.18, Sector I-10/1, Islamabada",FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Private,N/A,0*
Alliance Training and Solutions Lahore,"35 D/E Ali Block,New Garden Town,Lahore.",FA ICS ICom FSc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Army Public School and College Badin,Cantonment Road Badin,FA FSc Pre Engineering FSc Pre Medical ICS ICom,Public,N/A,0*
Punjab Group of Colleges Bhimber,"Mirpur Bypass Road, District Bhimber, Azad Kashmir",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
"Quaid-e-Azam College of Commerce, Toba Tek Singh","Mohallah Fazil Dewan, Kamalia, Distt. Toba Take Singh",ICom,N/A,N/A,0*
Govt Degree College For Women Jand Attock,Moh danghi chowk attock,FA Fsc Pre-Engineering FSc Pre-Medical FSc General Science ICS,Public,University of punjab,0*
Liaquat College of Management and Sciences Bahadurabad,F-2/1 Sir Ibrahim Haroon Jafar Road Opp. Agha Khan University Hospital.,ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom,Private,N/A,0*
RITE College Women Abbottabad,Abbottabad,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Govt College Boys Chunian Kasur,Govt College Boys Chunian Kasur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom FA General Science,Public,N/A,0*
Punjab Group of Colleges Kotli,"Bypass Road, Kotli, Azad Kashmir",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,0*
"Allied Group of Institutions, Lahore","104-Garden Block, New Garden Town, Kalma Chowk Lahore.",FA FSc Pre Engineering FSc Pre Medical ICom ICS,N/A,N/A,3*
Govt Degree College For Women Wahndo Gujranwala,Govt Degree College For Women Wahndo Gujranwala,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Public,N/A,0*
Govt Boys Degree College Athara Hazari Jhang,Govt Boys Degree College Athara Hazari Jhang,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science FA General Science,Public,N/A,0*
It Alrounders Professional Training Institute Peshawar,"3rd Floor Hamayun Tower Near Warid Office Arbab Road, Stop University Road, Peshawar.",DCom,N/A,University of Peshawar,0*
Reliance College Bahawalpur,Reliance College of Science and Humanities 34-A Satellite Town University Road Bahawalpur,FSc Pre Medical Fsc Pre Engineering FA ICs Computer Science ICom,Private,N/A,0*
Islamabad Model College for Boys F-10/3 Islamabad,"Islamabad Model College for Boys, F-10/3, Islamabad",FA Fsc Pre-Medical FSc Pre-Engineering FA General Science ICS ICom,Private,N/A,2*
Alam College Of Modern Sciences Peshawar,"Ring Road, Peshawar.",FA FA General Science ICs Computer Science FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Stars Group of College Arifwala,Main Qabula Road Near Sabir Hospital Arif Wala,FSc Pre Engineering Fsc Pre Medical FA ICS ICom,Private,N/A,0*
Chinar Degree College Bagh Azad Kashmir,Bagh Azad Kashmir,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Public,N/A,0*
Iqra Huffaz Boys Degree College Karachi,"ST-2/1, Block T North Nazimabad Karachi",FA Icom FSc Pre Engineering FSc Pre Medical,N/A,N/A,0*
Iselect Institute of Technology & Sciences,"Near Qureshi Paterol Pump, Mansehra Road, Supply Abbottabad",DAE Petroleum Technology DAE Electrical Technology DAE Civil Technology FSc Pre Engineering FSc Pre Medical ICs Computer Science FA,N/A,N/A,0*
Government Islamia College Badin,Gularchi Road Badin,FA FSc Pre Engineering FSc Pre Medical ICom ICS ,Public,N/A,0*
Integrated Training & Education System,"G.T Road, Rawat, Islamabad",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom DAE in Civil Engineering DAE in Computer Engineering DAE in Electrical Engineering DAE in Architecture Engineering,N/A,N/A,0*
Defence Authority Public School,"216, Khyaban-e-Shaheen, Phase-VIII DHA, Karachi",A Level,N/A,N/A,0*
"Govt. Institute of Commerce (W), Mianwali",Near Miana Antha Muslim Bazar Mianwali,ICom,N/A,N/A,0*
Govt College For Women Behal Bhakkar,Govt College For Women Behal Bhakkar,FA Fsc Pre-Medical FSc Pre-Engineering FA General Science,Public,N/A,0*
Education Development College Rawalpindi,"Britania Resource Center, 86-D, Royal Plaza, 3rd Floor, Office No. 6, 6th Road, Rawalpindi",I.Com ICS FSc Pre Medical FSc Pre Engineering FA,N/A,N/A,0*
Govt Degree College Salarwala Chak Jhumra Faisalabad,Govt Degree College Salarwala Chak Jhumra Faisalabad,FA ICS FSc Pre-Medical FSc Pre-Engineering FA General Science ICom,Public,N/A,4*
"Govt. College of Commerce , Lodhran","Near Bypass Bahawalpur Road, Lodhran",ICom,N/A,N/A,0*
Govt Degree College Mamash Khel Bannu,Mamash Khel Bannu,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Public,N/A,0*
Govt Institute of Commerce Kharian Gujrat,"Near Honda Mardan Showroom, Kharian Gujrat",Dcom Icom FA FSc Pre Engineering FSc Pre Medical ICS DBA,Public,N/A,0*
Govt Institute of Commerce Pattoki,Govt Institute of Commerce Pattoki,Dcom ICom,Public,N/A,0*
Royal Institute Of Education And Management Science Lakki Marwat,"Lakki Rd, Lakki Marwat",FA Fsc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Govt Degree College For Women Mari Sargodha,Govt Degree College For Women Mari Sargodha,FSc Pre Engineering FA General Science ICom FSc Pre Medical FA,Public,N/A,0*
Small Bullet Punjab College of Commerce 2-Khayaban-e-Sadiq Sargodha,Small Bullet Punjab College of Commerce 2-Khayaban-e-Sadiq Sargodha,FA FSc Pre-Medical FSc Pre-Engineering ICS Icom,Private,N/A,0*
Punjab Group of Colleges Shorkot,"1 Km from Tahsil Chowk,Cantt Road",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA General Science,Private,N/A,0*
Allegiance College Lahore,"11-J, Gulberg III Lahore.",FSc Pre Medical FSc Pre Engineering ICS Physics ICS Stats ICom FA,N/A,N/A,0*
"PIPS College for Girls, Lahore","21-Huma Block, Iqbal Town, Lahore",FSc Pre Engineering Fsc Pre Medical ICs Computer Science,N/A,N/A,0*
Punjab Group of Colleges Rawlakot,"Near United Hospital Western Bypass Road,Rawlakot",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering FA General Science ICom,Private,N/A,0*
Govt College For Women Gangapur Jaranwala Faisalabad,Govt College For Women Gangapur Jaranwala Faisalabad,FSc Pre-Medical FSc Pre-Engineering ICS FA General Science FA ICom,Public,N/A,0*
City Group of Colleges Gujranwala,"Sialkot Road, Wazirabad, Gujranwala, ",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,N/A,0*
"Mehran Boys College of Science and Commerce, Karachi","C-116, Near Aisha Manzil Bus Stop Block-6, F.B. Area, Karachi",ICs Computer Science FSc Pre Engineering FSc Pre Medical FA ICom,N/A,N/A,0*
Modern Language School & College Islamabad,"Plot# 3-E, Near I-10 Telephone Exchange,I-10 Markaz Islamabad",FA FSc Pre-Medical FSc Pre-Engineering ICS Icom FA General Science,Private,N/A,0*
RITE College Women Peshawar,"Peshawar,Khyber Pakhtunkhwa",FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Govt Institute of Commerce Darya Khan Bhakkar,Bhakkar,ICS Computer Science Fsc Pre Engineering ICom FSc Pre Medical FA,Public,N/A,0*
Govt College For Women Sahiwal Sargodha,Govt College For Women Sahiwal Sargodha,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Government Degree College Balakot,Balakot,FSc Pre Engineering Fsc Pre Medical FA,Public,N/A,0*
Govt Degree College Sarai Sidhu Kabirwala Khanewal,Govt Degree College Sarai Sidhu Kabirwala Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom FA General Science ,Public,N/A,0*
Govt College For Women Mankera Bhakkar,Govt College For Women Mankera Bhakkar,FA FSc Pre-Medical FSc Pre-Engineering ICS FA General Science,Public,N/A,0*
Govt Degree College Basal Jand Attock,Tehsil jand attock,FA ICS FSc Pre-Engineering FSc Pre-Medical FA General Science,Public,University of punjab,0*
Kindergarten Academy Rawalpindi,"Tipu Road,Sir Syed Chowk Rawalpindi",FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,N/A,N/A,0*
Govt Degree College Women Gulshan-e-Ravi Lahore,Govt Degree College Women Gulshan-e-Ravi Lahore,Fsc Pre Engineering FSc Pre Medical ICS ICOM FAFA General Science,Public,N/A,0*
ILM Group of College Bhakkar Campus,Ilm Group of College Near GHQ hospital bhakkar,FSc Pre Engineering Fsc Pre Medical FA IT ICom ICS Computer Science,Private,N/A,0*
Army Public School and College for Boys Rawalpindi Cantt,"Army Public School & College (Boys), Ordnance Road, Rawalpindi Cantt",FSc Pre Medical Fsc Pre Engineering ICom ICS FA,Private,N/A,0*
Rainbow Foundation High School & Girls College Rawalpindi Cantt,"Rainbow Foundation High School & Girls College, 13-Al-Mumtaz Colony, Adiala Road, Rawalpindi Cantt",FSc Pre Engineering Fsc Pre Medical ICs Computer Science ICom FA,Private,N/A,0*
FG Degree College for Women Bannu Cantt,BANNU CANTT,FA ICs Computer Science FSc Pre Medical FSc Pre Engineering,Public,N/A,0*
PIES School and College Islamabad,"PIES School & College, 12-K, Sitara Market, Markaz G-7, Islamabad",FA ICS ICom FSc Pre Medical FSc Pre Engineering FSc General Science,Private,N/A,0*
RITE College Women Kohat,Kohat,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Stars Group of Colleges Bahawalpur,"Wakeel Wali Chak, Bahawalpur ",ICS Computer Science FSc Pre Medical ICom FA FSc Pre Engineering,Private,N/A,0*
Govt Degree College Sillanwali Sargodha,Govt Degree College Sillanwali Sargodha,FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science FA General Science,Public,N/A,0*
Govt Degree College Mathra Peshawar,Govt Degree College Mathra Peshawar,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
Govt Institute of Commerce Kallurkot Bhakkar,Govt Institute of Commerce Kallurkot Bhakkar,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Public,N/A,0*
All City Leadership School And College Islamabad,"All City Leadership School And College (ACL), Main Barma Road, Pindorian, Near Tube Well No.18, Madina Town (F.A), P.O. Tarlai, Islamabad",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,N/A,0*
RITE College Boys Haripur,Haripur,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Ittefaq Model School & College Peshawar,Surizai Bala Peshawar,FA Fsc Pre Medical FSc Pre Engineering,N/A,N/A,4*
Recknors Corporate Training Workshops Karachi,"47A/1, STREET 48 BLOCK 6, PECHS NURSERY SHARA-E-FAISAL, KARACHI.",FSc Pre Medical Fsc Pre Engineering ICS Computer Science ICom FA Art,N/A,N/A,0*
Stars Group of Colleges Muridke,"Peer – Baha-ud-Din Arcade, Main G.T Road, Muridkey",ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom FA FSc General Science,Private,N/A,0*
Falak College Islamabad,"Bhara Kahu, Islamabad",FA FSc Pre Engineering FSc Pre Medical ICom,N/A,N/A,0*
Govt Degree College Bhagtanwala Sargodha,Govt Degree College Bhagtanwala Sargodha,FA FA General Science FSc Pre Medical FSc Pre Engineering ICs Computer Science,Public,N/A,0*
Govt Boys Degree College Mangowal Gujrat,Govt Boys Degree College Mangowal Gujrat,FA Fsc Pre-Engineering FSc Pre-Medical FA General Science ICom,Public,N/A,0*
Govt College For Women Pindigheb Attock,Govt College For Women Pindigheb Attock,FA Fsc Pre-Engineering FSc Pre-Medical FSc General Science ICS,Public,University of punjab,0*
Govt Post Graduate College for Women Samundri Faisalabad,Govt Post Graduate College for Women Samundri Faisalabad,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS Icom Dcom,Public,N/A,0*
RITE College Women Charsadda,Charsadda,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Govt College For Women Mian Channu Khanewal,Govt College For Women Mian Channu Khanewal,FA FSc Pre Engineering FSc Pre Medical ICS Computer Science,Public,N/A,0*
S N T College of Textile & M S Karachi,"50-M, Block-6, Near Nursery Stop, Masjid Nomania, Shahrah-e-Faisal, Karachi",FA Icom FSc Pre Medical FSc Pre Engineering,N/A,N/A,0*
Federal Abdali College and School Rawalpindi Cantt,"Federal Abdali College and School, Misrial Road, Chaman Abad, Rawalpindi Cantt",FA FSc Pre Engineering FSc Pre Medical ICS ICom,Private,N/A,0*
Government College For Women farooq Colony Sargodha,FARROQ COLONY SARGODAH,FA ICs Computer Science FSc Pre Engreening FSc Pre Medical,Public,N/A,0*
The Oasys School Karachi,"C-53, Block-2, Clifton, Karachi",FSc Pre Medical Fsc pre Engreening ICS ICom FA,Private,N/A,0*
Rise Group of College kasur,VU campus Baldia chowk kasur,FA ICOM FSC Pre Engineering FSC Pre Medical ICS,Private,N/A,1.25*
Govt Institute of Commerce Naushera Khushab,Naushera Khushab,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
PIES Group of Schools and Colleges islamabad,"PIES Group of Schools & Colleges (Ghouri Town Campus), Gangal East, Ghouri Town PH-II, Service Road, Near Total Petrol Pump, Islamabad",FSc Pre Medical Fsc Pre Engineering FA ICom ICS FSc General Science,Private,N/A,0*
United Chenab School and College Islamabad,United Chanab School and College 342-L Police Foundation Main Road PWD Islamabad,FSc Pre Medical Fsc Pre Engineering ICs Computer Science ICom FA,Private,N/A,0*
RITE College Women Mansehra,Mansehra,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
Euro Ark College,"Ist Floor ,Al-Ahmed Plaza Shelly Valley Range Road, Rawalpindi",FA ICom FSc Pre Medical FSc Pre Engineering ICS,Private,N/A,0*
Umer College of Science and Commerce Lahore,"894-N, Poonch Road, Near Umer Grammer School Samanabad Lahore",FSc Pre Engineering Fsc Pre Medical ICS ICom,N/A,N/A,0*
Govt College of Commerce Fateh Garh Lahore,3-Saeed Block Canal Bank Housing Scheme Fatehgarh Lahore,FSc Pre Medical Fsc Pre Engineering ICom ICS FA Diploma in Commerce DCom,Public,N/A,0*
Govt Institute of Commerce Noorpur Thal Khushab,Noorpur Thal Khushab,Dcom FA FSc Pre Engineering FSc Pre Medical ICS Computer Science Icom DBA,Public,N/A,0*
Govt Degree College For Women Kudwala Yazman Bahawalpur,Govt Degree College For Women Kudwala Yazman Bahawalpur,FA Fsc Pre Medical FSc Pre Engineering,Public,N/A,0*
College of Accounts and Finance Rawalpindi,B-69 Hamza Plaza Commercial Market Rawalpindi,ACCA CIMA,N/A,N/A,0*
RITE College Women Bari kot Swat,Bari kot Swat,FA ICS Computer Science FSc Pre Medical FSc Pre Engineering ICom  ,Private,N/A,0*
The Guardian School & College Islamabad,"The Guardian School & College, Pindorian, P.O.Tarlai, Near Minhas Palace (F.A), Islamabad",FA Fsc Pre Medical FSc Pre Engineering ICS Computer Science ICom,Private,N/A,0*
Govt Institute of Commerce Mankera Bhakkar,"Bhakkar-Jhang Rd, Mankera Shehr, Mankera Punjab",ICS Computer Science ICom DCom,Public,N/A,4*
